iter	RMSE
0	3.700485306
1	3.400295855
2	3.127621128
3	2.88799883
4	2.667786654
5	2.478201433
6	2.300746533
7	2.142739784
8	1.994549211
9	1.861371953
10	1.739795552
11	1.627202997
12	1.528133816
13	1.442045374
14	1.359333633
15	1.284763712
16	1.214370535
17	1.153609804
18	1.097445902
19	1.043733647
20	0.9959591886
21	0.9516674193
22	0.9090016841
23	0.8693464175
24	0.8341654942
25	0.7994515449
26	0.7696011502
27	0.7406642572
28	0.7162880865
29	0.6877013508
30	0.6638657139
31	0.643028587
32	0.6203866587
33	0.600303756
34	0.5817277808
35	0.5643990595
36	0.5472636956
37	0.5325322749
38	0.5160905193
39	0.5006329579
40	0.4884443347
41	0.4752151296
42	0.4634154936
43	0.4521192118
44	0.4406567042
45	0.4310419184
46	0.4216088959
47	0.4129722674
48	0.4038165003
49	0.394606065
50	0.3863135965
51	0.3789689995
52	0.3711612323
53	0.3639911767
54	0.3575246611
55	0.3519442048
56	0.3465934607
57	0.3403684694
58	0.3339643806
59	0.3275336249
60	0.3223758226
61	0.3172386136
62	0.3135404591
63	0.3083812585
64	0.3034897889
65	0.3000350282
66	0.2954876925
67	0.2914869783
68	0.2877625774
69	0.2840949827
70	0.2792922179
71	0.2762161117
72	0.2731369717
73	0.2691213123
74	0.2657224965
75	0.2629036467
76	0.2602517562
77	0.2579552953
78	0.2552024091
79	0.252590185
80	0.2509130823
81	0.2482559616
82	0.2455651818
83	0.2429495106
84	0.2405911021
85	0.2383261329
86	0.2355950241
87	0.2328612987
88	0.2305872601
89	0.2290058432
90	0.2274839998
91	0.2259836871
92	0.2247199726
93	0.2229416919
94	0.2215968296
95	0.2205766536
96	0.2194459047
97	0.2169001721
98	0.2159484089
99	0.2141112024
100	0.2127639432
101	0.2112503248
102	0.2095651181
103	0.2078803677
104	0.2063452714
105	0.2048295453
106	0.2033702233
107	0.2021018349
108	0.2007714699
109	0.1998360187
110	0.1990084772
111	0.1977077072
112	0.1962283447
113	0.1953546535
114	0.1931945481
115	0.1917278595
116	0.1914696945
117	0.1905244011
118	0.1889738206
119	0.1878032188
120	0.1865476661
121	0.1858370181
122	0.1843442367
123	0.1837262507
124	0.1820313546
125	0.1812156126
126	0.1808665818
127	0.1798324685
128	0.1784978722
129	0.1774136191
130	0.1764261573
131	0.1755965872
132	0.1747013015
133	0.1731746272
134	0.1721919636
135	0.1712632392
136	0.1710435595
137	0.1702315293
138	0.1698771022
139	0.1695731616
140	0.1689505813
141	0.1679932179
142	0.1669843909
143	0.1664848622
144	0.1654962579
145	0.1643272616
146	0.1636610842
147	0.1630760354
148	0.1625069681
149	0.1619294799
150	0.161739817
151	0.1607693507
152	0.16007455
153	0.1590281372
154	0.1583269409
155	0.1576824569
156	0.1575123875
157	0.1569772594
158	0.1560771017
159	0.155558662
160	0.1549648962
161	0.1543490343
162	0.1538169195
163	0.1531654532
164	0.152728484
165	0.1521025332
166	0.1513508067
167	0.1509445519
168	0.1505899235
169	0.1504858386
170	0.1499303668
171	0.1494001602
172	0.14901941
173	0.1484719141
174	0.1477605099
175	0.1471373788
176	0.1467643829
177	0.1464246033
178	0.1459905448
179	0.145685107
180	0.1455804183
181	0.1450052317
182	0.1444741369
183	0.144308358
184	0.1437374419
185	0.1434452041
186	0.1429223832
187	0.1425164304
188	0.1424030999
189	0.1420814718
190	0.1416160474
191	0.1413477553
192	0.1411773571
193	0.1406968946
194	0.1401784867
195	0.139697928
196	0.1394407014
197	0.1390318048
198	0.1387635121
199	0.1385676814
200	0.1378379238
201	0.1375720746
202	0.1372022323
203	0.1368225602
204	0.1364933442
205	0.1359929521
206	0.1354467757
207	0.135159177
208	0.1350621279
209	0.1347452619
210	0.134653971
211	0.1345349735
212	0.1343274916
213	0.1337892281
214	0.1335468682
215	0.1332988056
216	0.1327061519
217	0.1325001824
218	0.1323874921
219	0.1321082358
220	0.131756417
221	0.1314810859
222	0.1312545158
223	0.1308615921
224	0.1306482213
225	0.1302470778
226	0.12996043
227	0.1296674217
228	0.1295482608
229	0.1290396877
230	0.1287048455
231	0.1286677095
232	0.1285094732
233	0.1282755228
234	0.1278671327
235	0.1277683002
236	0.1273595606
237	0.1270826536
238	0.126739204
239	0.1265261911
240	0.1262023174
241	0.1259669807
242	0.1256532884
243	0.1253862872
244	0.1250823745
245	0.1247205602
246	0.124253898
247	0.1240112914
248	0.1237430949
249	0.1235459784
250	0.1234436519
251	0.1232623826
252	0.1230665333
253	0.1228218127
254	0.1225006008
255	0.1222014338
256	0.1220531862
257	0.1218280802
258	0.1215911574
259	0.1213456381
260	0.1211355847
261	0.1208107686
262	0.1205909236
263	0.1204788754
264	0.1202547223
265	0.1201390589
266	0.1199392717
267	0.1197432347
268	0.1196921275
269	0.1194727224
270	0.119216237
271	0.1189578146
272	0.1186735279
273	0.1183640394
274	0.1182955719
275	0.1179570824
276	0.1177722194
277	0.1175568439
278	0.1173536259
279	0.1172721749
280	0.1171999414
281	0.1170011937
282	0.1167642737
283	0.116629071
284	0.1164599936
285	0.1163702199
286	0.1161322329
287	0.1159720672
288	0.1158688444
289	0.1155766394
290	0.1153541684
291	0.1151292515
292	0.1150842111
293	0.1148674381
294	0.1147301733
295	0.1144440104
296	0.114239331
297	0.1141830167
298	0.1139228251
299	0.1137520414
