iter	Passed	Remaining
0	2	642
1	4	596
2	5	589
3	8	608
4	10	621
5	13	657
6	15	651
7	17	628
8	18	610
9	20	592
10	22	582
11	24	577
12	25	565
13	27	554
14	28	545
15	30	537
16	31	528
17	33	521
18	34	514
19	36	506
20	37	500
21	39	498
22	40	491
23	42	485
24	43	479
25	45	476
26	46	473
27	48	469
28	49	465
29	51	460
30	52	456
31	54	452
32	55	450
33	57	446
34	58	444
35	60	441
36	61	438
37	63	434
38	64	431
39	65	428
40	67	424
41	68	421
42	70	418
43	71	415
44	73	414
45	74	411
46	76	409
47	77	406
48	78	404
49	80	402
50	82	401
51	83	398
52	84	395
53	86	393
54	87	391
55	89	390
56	91	388
57	92	386
58	93	383
59	95	381
60	96	379
61	98	377
62	99	374
63	101	372
64	102	370
65	104	368
66	105	367
67	106	364
68	108	362
69	109	361
70	111	359
71	112	357
72	114	355
73	115	354
74	117	351
75	118	349
76	120	348
77	121	345
78	123	344
79	124	343
80	126	341
81	127	339
82	129	337
83	130	335
84	132	333
85	133	331
86	134	329
87	136	328
88	137	326
89	139	324
90	140	322
91	141	320
92	143	318
93	144	316
94	146	315
95	147	313
96	148	311
97	150	309
98	151	307
99	153	306
100	154	304
101	155	302
102	157	300
103	158	298
104	159	296
105	161	295
106	162	293
107	164	291
108	165	290
109	167	288
110	168	286
111	169	285
112	171	283
113	172	282
114	174	280
115	175	278
116	177	276
117	178	275
118	180	273
119	181	272
120	182	270
121	184	268
122	185	267
123	187	265
124	188	264
125	190	262
126	191	260
127	192	259
128	194	257
129	196	256
130	197	254
131	198	253
132	200	251
133	201	250
134	203	248
135	205	247
136	206	245
137	208	244
138	209	242
139	211	241
140	212	239
141	214	238
142	215	236
143	216	235
144	218	233
145	219	231
146	221	230
147	222	228
148	224	227
149	225	225
150	227	224
151	228	222
152	230	221
153	231	219
154	233	218
155	234	216
156	236	215
157	237	213
158	239	212
159	240	210
160	242	208
161	243	207
162	244	205
163	246	204
164	247	202
165	249	201
166	250	199
167	251	197
168	253	196
169	254	194
170	256	193
171	257	191
172	258	190
173	260	188
174	261	186
175	263	185
176	264	183
177	265	182
178	267	180
179	268	179
180	270	177
181	271	176
182	273	174
183	274	172
184	275	171
185	277	169
186	278	168
187	280	166
188	281	165
189	282	163
190	284	162
191	285	160
192	287	159
193	288	157
194	289	156
195	291	154
196	292	153
197	294	151
198	295	150
199	297	148
200	298	147
201	299	145
202	301	143
203	303	142
204	304	141
205	305	139
206	307	138
207	308	136
208	310	135
209	311	133
210	313	132
211	314	130
212	315	129
213	317	127
214	318	126
215	320	124
216	321	122
217	322	121
218	324	119
219	325	118
220	327	117
221	328	115
222	330	113
223	331	112
224	332	110
225	334	109
226	335	107
227	337	106
228	338	105
229	340	103
230	341	102
231	343	100
232	344	99
233	346	97
234	347	96
235	348	94
236	350	93
237	351	91
238	353	90
239	354	88
240	356	87
241	357	85
242	358	84
243	360	82
244	362	81
245	363	79
246	364	78
247	366	76
248	367	75
249	369	73
250	370	72
251	371	70
252	373	69
253	374	67
254	376	66
255	377	64
256	378	63
257	380	61
258	381	60
259	383	58
260	384	57
261	386	56
262	387	54
263	388	53
264	390	51
265	391	50
266	393	48
267	394	47
268	395	45
269	397	44
270	398	42
271	400	41
272	401	39
273	403	38
274	404	36
275	406	35
276	407	33
277	409	32
278	410	30
279	411	29
280	413	27
281	414	26
282	415	24
283	417	23
284	418	22
285	420	20
286	421	19
287	422	17
288	424	16
289	425	14
290	427	13
291	428	11
292	429	10
293	431	8
294	432	7
295	434	5
296	435	4
297	436	2
298	438	1
299	439	0
